"build","experimentName","subject","date","time","trialcode","blockcode","stimulusitem1","trial.choice.percentcorrect","trial.choice.latency","trial.choice.response","picture.correctStim.currentvalue","picture.incorrectStim.currentvalue","block_number","task_phase","index_correctChoice","index_incorrectChoice","correctChoicePosition","rightleftcorrect","correctKey","incorrectKey","percentTrialsCorrectFeedback_correctStim","percentTrialsCorrectFeedback_incorrectStim","responseAndFeedbackCategory","isThisTrialPractice","isResponseCorrect","isFeedbackAccurate","trial_number","total_trialnum","numbercorrectfeedback","numbercorrectfeedback_block","totalcorrect","consecutivecorrect","reversalnumber","totalearnings","centsearned"
"6.4.2","Reversal_Task","378965","2021-09-28","16:19:32","choice","Experiment_block_start","books.bmp","100","274","33","36","8","1","Acquisiton","36","8","2","right","36","33","0.6999999999999999556","0.2999999999999999889","IRIF","0","-1","1","10","10","1","1","9","0","19","0.5","0.5"
"6.4.2","Reversal_Task","378965","2021-09-28","16:19:32","fixation","Experiment_block_start","+","100","274","33","36","8","1","Acquisiton","36","8","2","right","36","33","0.6999999999999999556","0.2999999999999999889","IRIF","0","-1","1","10","10","1","1","9","0","19","0.5","0.5"
"6.4.2","Reversal_Task","378965","2021-09-28","16:19:32","choice","Experiment_block_start","books.bmp","100","174","33","36","8","1","Acquisiton","36","8","1","left","33","36","0.6999999999999999556","0.2999999999999999889","CRCF","0","1","1","11","11","1","1","9","0","19","0.5","0.5"
"6.4.2","Reversal_Task","378965","2021-09-28","16:19:32","fixation","Experiment_block_start","+","100","174","33","36","8","1","Acquisiton","36","8","1","left","33","36","0.6999999999999999556","0.2999999999999999889","CRCF","0","1","1","11","11","2","2","10","1","19","1","1"
"6.4.2","Reversal_Task","378965","2021-09-28","16:19:32","choice","Experiment_block_start","books.bmp","100","389","33","36","8","1","Acquisiton","36","8","2","right","36","33","0.6999999999999999556","0.2999999999999999889","IRCF","0","-1","-1","12","12","2","2","10","1","19","1","1"
"6.4.2","Reversal_Task","378965","2021-09-28","16:19:32","fixation","Experiment_block_start","+","100","389","33","36","8","1","Acquisiton","36","8","2","right","36","33","0.6999999999999999556","0.2999999999999999889","IRCF","0","-1","-1","12","12","3","3","10","0","19","1.5","1.5"
"6.4.2","Reversal_Task","378965","2021-09-28","16:19:32","choice","Experiment_block_start","books.bmp","100","421","33","36","8","1","Acquisiton","36","8","1","left","33","36","0.6999999999999999556","0.2999999999999999889","CRCF","0","1","1","13","13","3","3","10","0","19","1.5","1.5"
"6.4.2","Reversal_Task","378965","2021-09-28","16:19:32","fixation","Experiment_block_start","+","100","421","33","36","8","1","Acquisiton","36","8","1","left","33","36","0.6999999999999999556","0.2999999999999999889","CRCF","0","1","1","13","13","4","4","11","1","19","2","2"
"6.4.2","Reversal_Task","378965","2021-09-28","16:19:32","choice","Experiment_block_start","books.bmp","100","336","33","36","8","1","Acquisiton","36","8","1","left","33","36","0.6999999999999999556","0.2999999999999999889","CRIF","0","1","-1","14","14","4","4","11","1","19","2","2"
"6.4.2","Reversal_Task","378965","2021-09-28","16:19:32","fixation","Experiment_block_start","+","100","336","33","36","8","1","Acquisiton","36","8","1","left","33","36","0.6999999999999999556","0.2999999999999999889","CRIF","0","1","-1","14","14","4","4","12","2","19","2","2"
"6.4.2","Reversal_Task","378965","2021-09-28","16:19:32","choice","Experiment_block_start","books.bmp","100","232","36","36","8","1","Acquisiton","36","8","1","left","33","36","0.6999999999999999556","0.2999999999999999889","IRIF","0","-1","1","15","15","4","4","12","2","19","2","2"
"6.4.2","Reversal_Task","378965","2021-09-28","16:19:32","fixation","Experiment_block_start","+","100","232","36","36","8","1","Acquisiton","36","8","1","left","33","36","0.6999999999999999556","0.2999999999999999889","IRIF","0","-1","1","15","15","4","4","12","0","19","2","2"
"6.4.2","Reversal_Task","378965","2021-09-28","16:19:32","choice","Experiment_block_start","books.bmp","100","240","33","36","8","1","Acquisiton","36","8","1","left","33","36","0.6999999999999999556","0.2999999999999999889","CRCF","0","1","1","16","16","4","4","12","0","19","2","2"
"6.4.2","Reversal_Task","378965","2021-09-28","16:19:32","fixation","Experiment_block_start","+","100","240","33","36","8","1","Acquisiton","36","8","1","left","33","36","0.6999999999999999556","0.2999999999999999889","CRCF","0","1","1","16","16","5","5","13","1","19","2.5","2.5"
"6.4.2","Reversal_Task","378965","2021-09-28","16:19:32","choice","Experiment_block_start","books.bmp","100","430","36","36","8","1","Acquisiton","36","8","2","right","36","33","0.6999999999999999556","0.2999999999999999889","CRCF","0","1","1","17","17","5","5","13","1","19","2.5","2.5"
"6.4.2","Reversal_Task","378965","2021-09-28","16:19:32","fixation","Experiment_block_start","+","100","430","36","36","8","1","Acquisiton","36","8","2","right","36","33","0.6999999999999999556","0.2999999999999999889","CRCF","0","1","1","17","17","6","6","14","2","19","3","3"
"6.4.2","Reversal_Task","378965","2021-09-28","16:19:32","choice","Experiment_block_start","books.bmp","100","343","36","36","8","1","Acquisiton","36","8","2","right","36","33","0.6999999999999999556","0.2999999999999999889","CRCF","0","1","1","18","18","6","6","14","2","19","3","3"
"6.4.2","Reversal_Task","378965","2021-09-28","16:19:32","fixation","Experiment_block_start","+","100","343","36","36","8","1","Acquisiton","36","8","2","right","36","33","0.6999999999999999556","0.2999999999999999889","CRCF","0","1","1","18","18","7","7","15","3","19","3.5","3.5"
"6.4.2","Reversal_Task","378965","2021-09-28","16:19:32","choice","Experiment_block_start","books.bmp","100","356","36","36","8","1","Acquisiton","36","8","2","right","36","33","0.6999999999999999556","0.2999999999999999889","CRCF","0","1","1","19","19","7","7","15","3","19","3.5","3.5"
"6.4.2","Reversal_Task","378965","2021-09-28","16:19:32","fixation","Experiment_block_start","+","100","356","36","36","8","1","Acquisiton","36","8","2","right","36","33","0.6999999999999999556","0.2999999999999999889","CRCF","0","1","1","19","19","8","8","16","4","19","4","4"
"6.4.2","Reversal_Task","378965","2021-09-28","16:19:32","choice","Experiment_block_start","skate.bmp","100","296","36","8","36","1","Reversal","8","36","1","left","33","36","0.6999999999999999556","0.2999999999999999889","IRCF","0","-1","-1","20","20","8","8","16","4","19","4","4"
"6.4.2","Reversal_Task","378965","2021-09-28","16:19:32","fixation","Experiment_block_start","+","100","296","36","8","36","1","Reversal","8","36","1","left","33","36","0.6999999999999999556","0.2999999999999999889","IRCF","0","-1","-1","20","20","9","9","16","0","19","4.5","4.5"
"6.4.2","Reversal_Task","378965","2021-09-28","16:19:32","choice","Experiment_block_start","skate.bmp","100","478","33","8","36","1","Reversal","8","36","2","right","36","33","0.6999999999999999556","0.2999999999999999889","IRIF","0","-1","1","21","21","9","9","16","0","19","4.5","4.5"
"6.4.2","Reversal_Task","378965","2021-09-28","16:19:32","fixation","Experiment_block_start","+","100","478","33","8","36","1","Reversal","8","36","2","right","36","33","0.6999999999999999556","0.2999999999999999889","IRIF","0","-1","1","21","21","9","9","16","0","19","4.5","4.5"
"6.4.2","Reversal_Task","378965","2021-09-28","16:19:32","choice","Experiment_block_start","skate.bmp","100","492","33","8","36","1","Reversal","8","36","1","left","33","36","0.6999999999999999556","0.2999999999999999889","CRIF","0","1","-1","22","22","9","9","16","0","19","4.5","4.5"
"6.4.2","Reversal_Task","378965","2021-09-28","16:19:32","fixation","Experiment_block_start","+","100","492","33","8","36","1","Reversal","8","36","1","left","33","36","0.6999999999999999556","0.2999999999999999889","CRIF","0","1","-1","22","22","9","9","17","1","19","4.5","4.5"
"6.4.2","Reversal_Task","378965","2021-09-28","16:19:32","choice","Experiment_block_start","skate.bmp","100","415","33","8","36","1","Reversal","8","36","1","left","33","36","0.6999999999999999556","0.2999999999999999889","CRCF","0","1","1","23","23","9","9","17","1","19","4.5","4.5"
"6.4.2","Reversal_Task","378965","2021-09-28","16:19:32","fixation","Experiment_block_start","+","100","415","33","8","36","1","Reversal","8","36","1","left","33","36","0.6999999999999999556","0.2999999999999999889","CRCF","0","1","1","23","23","10","10","18","2","19","5","5"
"6.4.2","Reversal_Task","378965","2021-09-28","16:19:32","choice","Experiment_block_start","skate.bmp","100","406","36","8","36","1","Reversal","8","36","2","right","36","33","0.6999999999999999556","0.2999999999999999889","CRCF","0","1","1","24","24","10","10","18","2","19","5","5"
"6.4.2","Reversal_Task","378965","2021-09-28","16:19:32","fixation","Experiment_block_start","+","100","406","36","8","36","1","Reversal","8","36","2","right","36","33","0.6999999999999999556","0.2999999999999999889","CRCF","0","1","1","24","24","11","11","19","3","19","5.5","5.5"
"6.4.2","Reversal_Task","378965","2021-09-28","16:19:32","choice","Experiment_block_start","skate.bmp","100","338","36","8","36","1","Reversal","8","36","2","right","36","33","0.6999999999999999556","0.2999999999999999889","CRCF","0","1","1","25","25","11","11","19","3","19","5.5","5.5"
"6.4.2","Reversal_Task","378965","2021-09-28","16:19:32","fixation","Experiment_block_start","+","100","338","36","8","36","1","Reversal","8","36","2","right","36","33","0.6999999999999999556","0.2999999999999999889","CRCF","0","1","1","25","25","12","12","20","4","19","6","6"
"6.4.2","Reversal_Task","378965","2021-09-28","16:19:32","choice","Experiment_block_start","skate.bmp","100","441","33","8","36","1","Reversal","8","36","1","left","33","36","0.6999999999999999556","0.2999999999999999889","CRCF","0","1","1","26","26","12","12","20","4","19","6","6"
"6.4.2","Reversal_Task","378965","2021-09-28","16:19:32","fixation","Experiment_block_start","+","100","441","33","8","36","1","Reversal","8","36","1","left","33","36","0.6999999999999999556","0.2999999999999999889","CRCF","0","1","1","26","26","13","13","21","5","19","6.5","6.5"
